keyword,theme,search_intent,priority,estimated_volume,estimated_competition,estimated_cpc_low,estimated_cpc_high,composite_score,performance_rank,source
whey protein delivery pune,Location-based Queries,transactional,High,4597,Low,0.2,0.71,8.25,4,location_variant
whey protein hyderabad,Location-based Queries,commercial,Low,608,Medium,0.55,1.37,5.95,26,location_variant
whey protein in hyderabad,Location-based Queries,informational,Low,1637,Medium,0.42,1.23,5.85,27,location_variant
best whey protein hyderabad,Location-based Queries,commercial,High,2855,Low,0.28,0.71,8.15,5,location_variant
whey protein near hyderabad,Location-based Queries,informational,Low,1771,Medium,0.51,1.31,5.85,27,location_variant
hyderabad whey protein,Location-based Queries,commercial,Medium,810,Low,0.26,0.7,6.95,16,location_variant
whey protein delivery hyderabad,Location-based Queries,transactional,High,2962,Low,0.24,0.79,8.25,4,location_variant
protein powder mumbai,Location-based Queries,commercial,Medium,2423,Medium,0.51,1.13,6.95,16,location_variant
protein powder in mumbai,Location-based Queries,informational,Medium,3506,Low,0.28,0.68,7.35,12,location_variant
best protein powder mumbai,Location-based Queries,commercial,Medium,2128,Medium,0.55,1.18,7.15,14,location_variant
protein powder near mumbai,Location-based Queries,informational,Medium,2602,Medium,0.59,1.22,6.35,22,location_variant
mumbai protein powder,Location-based Queries,commercial,Low,1186,High,0.74,1.86,5.45,31,location_variant
protein powder delivery mumbai,Location-based Queries,transactional,High,3226,Low,0.23,0.81,8.25,4,location_variant
protein powder delhi,Location-based Queries,commercial,Medium,2951,Low,0.3,0.73,7.95,6,location_variant
protein powder in delhi,Location-based Queries,informational,Medium,931,Low,0.24,0.78,6.35,22,location_variant
best protein powder delhi,Location-based Queries,commercial,Medium,793,Medium,0.58,1.27,6.15,24,location_variant
protein powder near delhi,Location-based Queries,informational,Low,540,Medium,0.48,1.23,5.35,32,location_variant
delhi protein powder,Location-based Queries,commercial,Medium,1303,Low,0.27,0.68,7.45,11,location_variant
protein powder delivery delhi,Location-based Queries,transactional,Low,1179,High,0.84,1.94,5.75,28,location_variant
protein powder bengaluru,Location-based Queries,commercial,Medium,882,Low,0.28,0.69,6.95,16,location_variant
protein powder in bengaluru,Location-based Queries,informational,Low,1414,Medium,0.52,1.25,5.85,27,location_variant
best protein powder bengaluru,Location-based Queries,commercial,Medium,2009,Medium,0.53,1.14,7.15,14,location_variant
bengaluru protein powder,Location-based Queries,commercial,Medium,1985,Medium,0.51,1.28,6.45,21,location_variant
protein powder pune,Location-based Queries,commercial,Medium,1811,Medium,0.45,1.33,6.45,21,location_variant
protein powder in pune,Location-based Queries,informational,Low,2487,High,0.8,1.83,5.35,32,location_variant
best protein powder pune,Location-based Queries,commercial,High,3136,Low,0.21,0.73,8.15,5,location_variant
pune protein powder,Location-based Queries,commercial,Medium,1255,Medium,0.56,1.25,6.45,21,location_variant
protein powder delivery pune,Location-based Queries,transactional,Medium,3784,High,0.78,1.86,6.25,23,location_variant
protein powder hyderabad,Location-based Queries,commercial,Medium,1381,Medium,0.47,1.23,6.45,21,location_variant
protein powder in hyderabad,Location-based Queries,informational,Medium,2315,Medium,0.42,1.18,6.35,22,location_variant
best protein powder hyderabad,Location-based Queries,commercial,Medium,1003,Medium,0.52,1.31,6.65,19,location_variant
protein powder near hyderabad,Location-based Queries,informational,Medium,3275,Medium,0.6,1.36,6.35,22,location_variant
hyderabad protein powder,Location-based Queries,commercial,Medium,1177,Low,0.26,0.74,7.45,11,location_variant
protein powder delivery hyderabad,Location-based Queries,transactional,High,2623,Low,0.26,0.79,8.25,4,location_variant
gym supplements mumbai,Location-based Queries,commercial,Medium,1790,Low,0.21,0.74,7.45,11,location_variant
gym supplements in mumbai,Location-based Queries,informational,Medium,2415,Low,0.28,0.73,7.35,12,location_variant
gym supplements near mumbai,Location-based Queries,informational,Medium,3568,Low,0.22,0.73,7.35,12,location_variant
mumbai gym supplements,Location-based Queries,commercial,Low,1488,High,0.75,1.81,5.45,31,location_variant
gym supplements delivery mumbai,Location-based Queries,transactional,Medium,2512,Medium,0.4,1.33,7.25,13,location_variant
gym supplements delhi,Location-based Queries,commercial,Medium,3683,Low,0.23,0.75,7.95,6,location_variant
gym supplements in delhi,Location-based Queries,informational,Low,939,Medium,0.46,1.36,5.35,32,location_variant
best gym supplements delhi,Location-based Queries,commercial,Medium,3523,Medium,0.45,1.23,7.15,14,location_variant
gym supplements near delhi,Location-based Queries,informational,Low,1710,Medium,0.57,1.34,5.85,27,location_variant
delhi gym supplements,Location-based Queries,commercial,Medium,1509,Medium,0.44,1.33,6.45,21,location_variant
gym supplements delivery delhi,Location-based Queries,transactional,Medium,3711,Medium,0.49,1.25,7.25,13,location_variant
gym supplements bengaluru,Location-based Queries,commercial,Medium,3190,Low,0.21,0.69,7.95,6,location_variant
gym supplements in bengaluru,Location-based Queries,informational,Low,3600,High,0.87,2.0,5.35,32,location_variant
gym supplements near bengaluru,Location-based Queries,informational,Medium,2313,Medium,0.55,1.16,6.35,22,location_variant
bengaluru gym supplements,Location-based Queries,commercial,Medium,700,Low,0.26,0.7,6.95,16,location_variant
gym supplements delivery bengaluru,Location-based Queries,transactional,Medium,3106,Medium,0.55,1.29,7.25,13,location_variant
gym supplements pune,Location-based Queries,commercial,Medium,1935,Low,0.3,0.69,7.45,11,location_variant
gym supplements in pune,Location-based Queries,informational,Medium,1506,Low,0.21,0.72,6.85,17,location_variant
best gym supplements pune,Location-based Queries,commercial,Medium,500,Low,0.23,0.71,7.15,14,location_variant
gym supplements near pune,Location-based Queries,informational,Low,1438,Medium,0.58,1.19,5.85,27,location_variant
gym supplements delivery pune,Location-based Queries,transactional,Medium,2775,Medium,0.49,1.32,7.25,13,location_variant
gym supplements hyderabad,Location-based Queries,commercial,Medium,1665,Medium,0.41,1.25,6.45,21,location_variant
gym supplements in hyderabad,Location-based Queries,informational,Medium,4077,Medium,0.41,1.14,6.35,22,location_variant
best gym supplements hyderabad,Location-based Queries,commercial,Medium,668,Medium,0.58,1.16,6.15,24,location_variant
gym supplements near hyderabad,Location-based Queries,informational,Low,928,Medium,0.51,1.23,5.35,32,location_variant
gym supplements delivery hyderabad,Location-based Queries,transactional,High,3496,Low,0.2,0.77,8.25,4,location_variant
fitness nutrition in mumbai,Location-based Queries,informational,Medium,3288,Medium,0.59,1.14,6.35,22,location_variant
best fitness nutrition mumbai,Location-based Queries,commercial,Medium,2729,Medium,0.48,1.19,7.15,14,location_variant
fitness nutrition near mumbai,Location-based Queries,informational,Medium,3639,Medium,0.55,1.37,6.35,22,location_variant
mumbai fitness nutrition,Location-based Queries,commercial,Medium,1369,Medium,0.45,1.29,6.45,21,location_variant
fitness nutrition in delhi,Location-based Queries,informational,Medium,3091,Medium,0.52,1.21,6.35,22,location_variant
best fitness nutrition delhi,Location-based Queries,commercial,Medium,1518,Low,0.21,0.7,7.65,9,location_variant
fitness nutrition near delhi,Location-based Queries,informational,Medium,3912,Medium,0.45,1.19,6.35,22,location_variant
fitness nutrition delivery delhi,Location-based Queries,transactional,High,4118,Low,0.25,0.69,8.25,4,location_variant
fitness nutrition bengaluru,Location-based Queries,commercial,Medium,3575,Medium,0.57,1.31,6.95,16,location_variant
fitness nutrition in bengaluru,Location-based Queries,informational,Medium,3302,Medium,0.41,1.3,6.35,22,location_variant
best fitness nutrition bengaluru,Location-based Queries,commercial,Medium,1504,Medium,0.51,1.15,6.65,19,location_variant
fitness nutrition near bengaluru,Location-based Queries,informational,Medium,2956,Low,0.25,0.75,7.35,12,location_variant
bengaluru fitness nutrition,Location-based Queries,commercial,Medium,1070,Medium,0.43,1.36,6.45,21,location_variant
fitness nutrition pune,Location-based Queries,commercial,Medium,2252,Low,0.25,0.74,7.95,6,location_variant
fitness nutrition in pune,Location-based Queries,informational,Medium,3123,Low,0.27,0.76,7.35,12,location_variant
fitness nutrition near pune,Location-based Queries,informational,Medium,1422,Low,0.28,0.74,6.85,17,location_variant
fitness nutrition delivery pune,Location-based Queries,transactional,Medium,2102,Medium,0.44,1.19,7.25,13,location_variant
fitness nutrition hyderabad,Location-based Queries,commercial,Medium,1369,Low,0.22,0.72,7.45,11,location_variant
best fitness nutrition hyderabad,Location-based Queries,commercial,Medium,1568,Medium,0.44,1.34,6.65,19,location_variant
fitness nutrition near hyderabad,Location-based Queries,informational,Low,820,Medium,0.58,1.34,5.35,32,location_variant
hyderabad fitness nutrition,Location-based Queries,commercial,Medium,3782,Medium,0.45,1.24,6.95,16,location_variant
fitness nutrition delivery hyderabad,Location-based Queries,transactional,Medium,1149,Medium,0.6,1.32,6.75,18,location_variant
muscle building supplements mumbai,Location-based Queries,informational,Medium,964,Low,0.2,0.68,6.35,22,location_variant
muscle building supplements in mumbai,Location-based Queries,informational,Low,1199,Medium,0.39,1.08,5.85,27,location_variant
best muscle building supplements mumbai,Location-based Queries,commercial,Low,500,High,0.65,1.6,5.15,34,location_variant
muscle building supplements near mumbai,Location-based Queries,informational,Medium,1075,Low,0.17,0.62,6.85,17,location_variant
mumbai muscle building supplements,Location-based Queries,informational,Low,1961,Medium,0.56,1.22,5.85,27,location_variant
muscle building supplements delivery mumbai,Location-based Queries,transactional,Medium,4673,Medium,0.44,1.09,7.25,13,location_variant
muscle building supplements delhi,Location-based Queries,informational,Medium,2393,Medium,0.44,1.26,6.35,22,location_variant
muscle building supplements in delhi,Location-based Queries,informational,Medium,2979,Low,0.18,0.64,7.35,12,location_variant
best muscle building supplements delhi,Location-based Queries,commercial,Low,1242,High,0.66,1.64,5.65,29,location_variant
muscle building supplements near delhi,Location-based Queries,informational,Medium,3546,Medium,0.45,0.98,6.75,18,location_variant
delhi muscle building supplements,Location-based Queries,informational,Medium,2517,Low,0.29,0.75,7.35,12,location_variant
muscle building supplements delivery delhi,Location-based Queries,transactional,High,2285,Low,0.17,0.62,8.25,4,location_variant
muscle building supplements bengaluru,Location-based Queries,informational,Medium,613,Low,0.28,0.72,6.35,22,location_variant
muscle building supplements in bengaluru,Location-based Queries,informational,Medium,2762,Medium,0.46,1.08,6.35,22,location_variant
best muscle building supplements bengaluru,Location-based Queries,commercial,Medium,4024,Medium,0.36,1.1,7.15,14,location_variant
muscle building supplements near bengaluru,Location-based Queries,informational,Low,2918,High,0.55,1.5,5.75,28,location_variant
bengaluru muscle building supplements,Location-based Queries,informational,Low,1233,Medium,0.44,1.35,5.85,27,location_variant
muscle building supplements delivery bengaluru,Location-based Queries,transactional,High,2889,Low,0.21,0.56,8.25,4,location_variant
muscle building supplements pune,Location-based Queries,informational,Medium,3640,Medium,0.49,1.28,6.35,22,location_variant
muscle building supplements in pune,Location-based Queries,informational,Low,1107,Medium,0.33,1.08,5.85,27,location_variant
best muscle building supplements pune,Location-based Queries,commercial,Medium,1281,Low,0.22,0.6,7.65,9,location_variant
muscle building supplements near pune,Location-based Queries,informational,Medium,3191,Low,0.24,0.59,7.35,12,location_variant
pune muscle building supplements,Location-based Queries,informational,Medium,2143,Low,0.3,0.78,7.35,12,location_variant
muscle building supplements delivery pune,Location-based Queries,transactional,Medium,2501,Medium,0.42,0.93,7.65,9,location_variant
muscle building supplements hyderabad,Location-based Queries,informational,Low,500,Medium,0.58,1.23,5.35,32,location_variant
muscle building supplements in hyderabad,Location-based Queries,informational,Low,898,Medium,0.35,0.9,5.75,28,location_variant
best muscle building supplements hyderabad,Location-based Queries,commercial,Medium,4158,High,0.66,1.61,6.15,24,location_variant
muscle building supplements near hyderabad,Location-based Queries,informational,Low,4987,High,0.7,1.72,5.35,32,location_variant
hyderabad muscle building supplements,Location-based Queries,informational,Low,1271,Medium,0.42,1.31,5.85,27,location_variant
muscle building supplements delivery hyderabad,Location-based Queries,transactional,Low,500,High,0.56,1.71,5.25,33,location_variant
pre workout mumbai,Location-based Queries,commercial,Medium,3829,Low,0.28,0.76,7.75,8,location_variant
pre workout in mumbai,Location-based Queries,informational,Medium,1069,Low,0.27,0.72,6.65,19,location_variant
best pre workout mumbai,Location-based Queries,commercial,Medium,500,Low,0.25,0.8,7.15,14,location_variant
pre workout near mumbai,Location-based Queries,informational,Medium,1475,Low,0.25,0.73,6.65,19,location_variant
mumbai pre workout,Location-based Queries,commercial,Low,888,Medium,0.5,1.33,5.75,28,location_variant
pre workout delivery mumbai,Location-based Queries,transactional,Low,781,High,0.75,1.87,5.05,35,location_variant
pre workout delhi,Location-based Queries,commercial,Medium,685,Low,0.27,0.8,6.75,18,location_variant
pre workout in delhi,Location-based Queries,informational,Medium,3105,Low,0.21,0.71,7.15,14,location_variant
best pre workout delhi,Location-based Queries,commercial,Medium,1515,Medium,0.43,1.21,6.65,19,location_variant
delhi pre workout,Location-based Queries,commercial,Medium,3470,Medium,0.53,1.28,6.75,18,location_variant
pre workout delivery delhi,Location-based Queries,transactional,Medium,2348,Medium,0.47,1.34,7.05,15,location_variant
pre workout bengaluru,Location-based Queries,commercial,Medium,1014,Low,0.25,0.82,7.25,13,location_variant
pre workout in bengaluru,Location-based Queries,informational,Medium,2563,Low,0.26,0.69,7.15,14,location_variant
best pre workout bengaluru,Location-based Queries,commercial,Medium,2292,High,0.86,1.93,6.15,24,location_variant
pre workout near bengaluru,Location-based Queries,informational,Low,2099,High,0.86,1.83,5.15,34,location_variant
bengaluru pre workout,Location-based Queries,commercial,Medium,2822,Low,0.22,0.8,7.75,8,location_variant
pre workout pune,Location-based Queries,commercial,Medium,1967,Medium,0.46,1.29,6.25,23,location_variant
best pre workout pune,Location-based Queries,commercial,Medium,3390,Medium,0.46,1.18,7.15,14,location_variant
pre workout near pune,Location-based Queries,informational,Medium,2715,Medium,0.41,1.2,6.15,24,location_variant
pune pre workout,Location-based Queries,commercial,Medium,2130,Medium,0.53,1.36,6.75,18,location_variant
pre workout delivery pune,Location-based Queries,transactional,Medium,1207,Medium,0.57,1.32,6.55,20,location_variant
pre workout hyderabad,Location-based Queries,commercial,Medium,1129,Low,0.28,0.77,7.25,13,location_variant
pre workout in hyderabad,Location-based Queries,informational,Medium,3688,Low,0.23,0.81,7.15,14,location_variant
best pre workout hyderabad,Location-based Queries,commercial,Medium,4272,Medium,0.53,1.27,7.15,14,location_variant
pre workout near hyderabad,Location-based Queries,informational,Medium,4045,Medium,0.42,1.24,6.15,24,location_variant
hyderabad pre workout,Location-based Queries,commercial,Medium,2909,Low,0.25,0.8,7.75,8,location_variant
pre workout delivery hyderabad,Location-based Queries,transactional,Medium,2895,Medium,0.51,1.22,7.05,15,location_variant
protein isolate mumbai,Location-based Queries,commercial,Low,2202,High,0.95,1.84,5.95,26,location_variant
protein isolate in mumbai,Location-based Queries,informational,Medium,2609,Low,0.24,0.68,7.35,12,location_variant
best protein isolate mumbai,Location-based Queries,commercial,Medium,1945,Medium,0.55,1.35,6.65,19,location_variant
protein isolate near mumbai,Location-based Queries,informational,Low,949,Medium,0.46,1.34,5.35,32,location_variant
protein isolate delivery mumbai,Location-based Queries,transactional,Medium,500,Low,0.28,0.8,7.25,13,location_variant
protein isolate delhi,Location-based Queries,commercial,Medium,3362,Medium,0.4,1.37,6.95,16,location_variant
protein isolate in delhi,Location-based Queries,informational,Low,2035,High,0.87,1.92,5.35,32,location_variant
best protein isolate delhi,Location-based Queries,commercial,Low,1161,High,0.91,1.91,5.65,29,location_variant
protein isolate near delhi,Location-based Queries,informational,Medium,2722,Medium,0.57,1.15,6.35,22,location_variant
delhi protein isolate,Location-based Queries,commercial,Medium,2502,Medium,0.54,1.26,6.95,16,location_variant
protein isolate delivery delhi,Location-based Queries,transactional,Medium,3402,Medium,0.42,1.19,7.25,13,location_variant
protein isolate bengaluru,Location-based Queries,commercial,Low,2844,High,0.64,1.99,5.95,26,location_variant
protein isolate in bengaluru,Location-based Queries,informational,Low,1912,Medium,0.46,1.27,5.85,27,location_variant
best protein isolate bengaluru,Location-based Queries,commercial,High,3124,Low,0.23,0.72,8.15,5,location_variant
protein isolate near bengaluru,Location-based Queries,informational,Low,3926,High,0.88,1.82,5.35,32,location_variant
bengaluru protein isolate,Location-based Queries,commercial,Medium,2080,Medium,0.58,1.34,6.95,16,location_variant
protein isolate delivery bengaluru,Location-based Queries,transactional,Medium,3572,Medium,0.53,1.27,7.25,13,location_variant
protein isolate pune,Location-based Queries,commercial,Medium,876,Low,0.29,0.7,6.95,16,location_variant
protein isolate in pune,Location-based Queries,informational,Low,728,Medium,0.42,1.18,5.35,32,location_variant
best protein isolate pune,Location-based Queries,commercial,Medium,912,Medium,0.56,1.13,6.15,24,location_variant
protein isolate near pune,Location-based Queries,informational,Medium,3411,Medium,0.52,1.37,6.35,22,location_variant
pune protein isolate,Location-based Queries,commercial,Medium,2356,Low,0.29,0.75,7.95,6,location_variant
protein isolate delivery pune,Location-based Queries,transactional,Medium,3519,Medium,0.41,1.33,7.25,13,location_variant
protein isolate hyderabad,Location-based Queries,commercial,Low,2550,High,0.83,1.85,5.95,26,location_variant
protein isolate in hyderabad,Location-based Queries,informational,Medium,2276,Low,0.21,0.81,7.35,12,location_variant
protein isolate near hyderabad,Location-based Queries,informational,Low,1914,Medium,0.58,1.27,5.85,27,location_variant
hyderabad protein isolate,Location-based Queries,commercial,Low,3614,High,0.81,1.97,5.95,26,location_variant
protein isolate delivery hyderabad,Location-based Queries,transactional,Medium,1513,Medium,0.46,1.23,6.75,18,location_variant
bodybuilding supplements mumbai,Location-based Queries,commercial,Low,897,Medium,0.55,1.28,5.95,26,location_variant
bodybuilding supplements in mumbai,Location-based Queries,informational,Low,1244,Medium,0.58,1.24,5.85,27,location_variant
bodybuilding supplements near mumbai,Location-based Queries,informational,Low,1006,Medium,0.52,1.3,5.85,27,location_variant
mumbai bodybuilding supplements,Location-based Queries,commercial,Medium,3451,Medium,0.45,1.25,6.95,16,location_variant
bodybuilding supplements delivery mumbai,Location-based Queries,transactional,Medium,1028,Medium,0.42,1.22,6.75,18,location_variant
bodybuilding supplements in delhi,Location-based Queries,informational,Medium,3120,Medium,0.59,1.28,6.35,22,location_variant
best bodybuilding supplements delhi,Location-based Queries,commercial,Medium,2314,Medium,0.55,1.25,7.15,14,location_variant
bodybuilding supplements near delhi,Location-based Queries,informational,Medium,2212,Medium,0.53,1.14,6.35,22,location_variant
delhi bodybuilding supplements,Location-based Queries,commercial,Low,4061,High,0.72,1.94,5.95,26,location_variant
bodybuilding supplements delivery delhi,Location-based Queries,transactional,Medium,1723,Low,0.25,0.68,7.75,8,location_variant
bodybuilding supplements bengaluru,Location-based Queries,commercial,Medium,3153,Medium,0.43,1.19,6.95,16,location_variant
bodybuilding supplements in bengaluru,Location-based Queries,informational,Medium,2834,Low,0.3,0.72,7.35,12,location_variant
best bodybuilding supplements bengaluru,Location-based Queries,commercial,Medium,3183,Medium,0.5,1.17,7.15,14,location_variant
bodybuilding supplements near bengaluru,Location-based Queries,informational,Medium,2516,Medium,0.52,1.2,6.35,22,location_variant
bengaluru bodybuilding supplements,Location-based Queries,commercial,Medium,2742,Medium,0.44,1.25,6.95,16,location_variant
bodybuilding supplements delivery bengaluru,Location-based Queries,transactional,Medium,1454,Medium,0.4,1.13,6.75,18,location_variant
bodybuilding supplements pune,Location-based Queries,commercial,Low,588,Medium,0.44,1.13,5.95,26,location_variant
bodybuilding supplements in pune,Location-based Queries,informational,Low,1728,Medium,0.42,1.21,5.85,27,location_variant
best bodybuilding supplements pune,Location-based Queries,commercial,Medium,1682,Low,0.28,0.76,7.65,9,location_variant
bodybuilding supplements near pune,Location-based Queries,informational,Low,742,Medium,0.5,1.2,5.35,32,location_variant
pune bodybuilding supplements,Location-based Queries,commercial,Medium,2363,Low,0.29,0.73,7.95,6,location_variant
bodybuilding supplements delivery pune,Location-based Queries,transactional,Medium,952,Low,0.21,0.77,7.25,13,location_variant
bodybuilding supplements hyderabad,Location-based Queries,commercial,Low,598,Medium,0.42,1.21,5.95,26,location_variant
bodybuilding supplements in hyderabad,Location-based Queries,informational,Low,1681,Medium,0.5,1.34,5.85,27,location_variant
best bodybuilding supplements hyderabad,Location-based Queries,commercial,Medium,3802,Medium,0.5,1.3,7.15,14,location_variant
bodybuilding supplements near hyderabad,Location-based Queries,informational,Medium,4803,Medium,0.6,1.16,6.35,22,location_variant
hyderabad bodybuilding supplements,Location-based Queries,commercial,Medium,1564,Medium,0.45,1.22,6.45,21,location_variant
bodybuilding supplements delivery hyderabad,Location-based Queries,transactional,Medium,3254,High,0.77,1.96,6.25,23,location_variant
sports nutrition mumbai,Location-based Queries,commercial,Medium,1166,Medium,0.58,1.3,6.45,21,location_variant
sports nutrition in mumbai,Location-based Queries,informational,Medium,4137,Medium,0.52,1.2,6.35,22,location_variant
best sports nutrition mumbai,Location-based Queries,commercial,High,3477,Low,0.28,0.82,8.15,5,location_variant
sports nutrition near mumbai,Location-based Queries,informational,Medium,2926,Medium,0.56,1.13,6.35,22,location_variant
mumbai sports nutrition,Location-based Queries,commercial,Medium,1883,Medium,0.53,1.14,6.45,21,location_variant
sports nutrition delivery mumbai,Location-based Queries,transactional,Medium,667,Medium,0.45,1.14,6.25,23,location_variant
sports nutrition delhi,Location-based Queries,commercial,Low,841,Medium,0.52,1.3,5.95,26,location_variant
sports nutrition in delhi,Location-based Queries,informational,Low,1069,Medium,0.42,1.22,5.85,27,location_variant
best sports nutrition delhi,Location-based Queries,commercial,Medium,3496,Medium,0.49,1.22,7.15,14,location_variant
sports nutrition near delhi,Location-based Queries,informational,Low,620,Medium,0.42,1.23,5.35,32,location_variant
delhi sports nutrition,Location-based Queries,commercial,Low,3174,High,0.88,1.83,5.95,26,location_variant
sports nutrition delivery delhi,Location-based Queries,transactional,Medium,2673,Medium,0.42,1.21,7.25,13,location_variant
sports nutrition in bengaluru,Location-based Queries,informational,Medium,3867,Low,0.27,0.73,7.35,12,location_variant
best sports nutrition bengaluru,Location-based Queries,commercial,Medium,633,Low,0.26,0.68,7.15,14,location_variant
sports nutrition near bengaluru,Location-based Queries,informational,Medium,1859,Low,0.26,0.81,6.85,17,location_variant
bengaluru sports nutrition,Location-based Queries,commercial,Medium,3306,Medium,0.52,1.34,6.95,16,location_variant
sports nutrition delivery bengaluru,Location-based Queries,transactional,Low,1122,High,0.87,1.85,5.75,28,location_variant
sports nutrition pune,Location-based Queries,commercial,Medium,2874,Low,0.29,0.68,7.95,6,location_variant
sports nutrition in pune,Location-based Queries,informational,Low,3487,High,0.81,1.86,5.35,32,location_variant
best sports nutrition pune,Location-based Queries,commercial,High,3532,Low,0.2,0.74,8.15,5,location_variant
sports nutrition near pune,Location-based Queries,informational,Low,698,High,0.73,1.99,4.35,39,location_variant
pune sports nutrition,Location-based Queries,commercial,Medium,2041,Medium,0.52,1.14,6.95,16,location_variant
sports nutrition delivery pune,Location-based Queries,transactional,High,2251,Low,0.21,0.76,8.25,4,location_variant
sports nutrition hyderabad,Location-based Queries,commercial,Medium,1648,Medium,0.47,1.31,6.45,21,location_variant
sports nutrition in hyderabad,Location-based Queries,informational,Medium,4191,Low,0.27,0.8,7.35,12,location_variant
best sports nutrition hyderabad,Location-based Queries,commercial,High,3175,Low,0.27,0.74,8.15,5,location_variant
sports nutrition near hyderabad,Location-based Queries,informational,Medium,2593,Medium,0.53,1.19,6.35,22,location_variant
sports nutrition delivery hyderabad,Location-based Queries,transactional,Medium,1353,Medium,0.49,1.32,6.75,18,location_variant
mass gainer mumbai,Location-based Queries,commercial,Medium,1830,Medium,0.56,1.34,6.25,23,location_variant
mass gainer in mumbai,Location-based Queries,informational,Low,925,Medium,0.58,1.23,5.15,34,location_variant
best mass gainer mumbai,Location-based Queries,commercial,Medium,1028,Medium,0.46,1.27,6.65,19,location_variant
mass gainer near mumbai,Location-based Queries,informational,Medium,4628,Low,0.24,0.77,7.15,14,location_variant
mumbai mass gainer,Location-based Queries,commercial,Low,609,Medium,0.54,1.3,5.75,28,location_variant
mass gainer delivery mumbai,Location-based Queries,transactional,Medium,1979,Low,0.24,0.7,7.55,10,location_variant
mass gainer delhi,Location-based Queries,commercial,Medium,1901,Low,0.24,0.7,7.25,13,location_variant
mass gainer in delhi,Location-based Queries,informational,Medium,3538,Medium,0.58,1.21,6.15,24,location_variant
best mass gainer delhi,Location-based Queries,commercial,High,4023,Low,0.22,0.68,8.15,5,location_variant
mass gainer near delhi,Location-based Queries,informational,Low,1657,Medium,0.53,1.28,5.65,29,location_variant
delhi mass gainer,Location-based Queries,commercial,Medium,1542,Medium,0.47,1.14,6.25,23,location_variant
mass gainer delivery delhi,Location-based Queries,transactional,Medium,1430,Low,0.24,0.72,7.55,10,location_variant
mass gainer bengaluru,Location-based Queries,commercial,Medium,1830,Medium,0.54,1.28,6.25,23,location_variant
mass gainer in bengaluru,Location-based Queries,informational,Medium,3696,Low,0.24,0.71,7.15,14,location_variant
